0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,target
0,0,9.84,14.395,81,0.0,True,False,False,False,True,False,False,False,0,5,1,0,16
0,0,9.02,13.635,80,0.0,True,False,False,False,True,False,False,False,1,5,1,0,40
0,0,9.02,13.635,80,0.0,True,False,False,False,True,False,False,False,2,5,1,0,32
0,0,9.84,14.395,75,0.0,True,False,False,False,True,False,False,False,3,5,1,0,13
0,0,9.84,14.395,75,0.0,True,False,False,False,True,False,False,False,4,5,1,0,1
0,0,9.84,12.88,75,6.0032,True,False,False,False,False,True,False,False,5,5,1,0,1
0,0,9.02,13.635,80,0.0,True,False,False,False,True,False,False,False,6,5,1,0,2
0,0,8.2,12.88,86,0.0,True,False,False,False,True,False,False,False,7,5,1,0,3
0,0,9.84,14.395,75,0.0,True,False,False,False,True,False,False,False,8,5,1,0,8
0,0,13.12,17.425,76,0.0,True,False,False,False,True,False,False,False,9,5,1,0,14
0,0,15.58,19.695,76,16.9979,True,False,False,False,True,False,False,False,10,5,1,0,36
0,0,14.76,16.665,81,19.0012,True,False,False,False,True,False,False,False,11,5,1,0,56
0,0,17.22,21.21,77,19.0012,True,False,False,False,True,False,False,False,12,5,1,0,84
0,0,18.86,22.725,72,19.9995,True,False,False,False,False,True,False,False,13,5,1,0,94
0,0,18.86,22.725,72,19.0012,True,False,False,False,False,True,False,False,14,5,1,0,106
0,0,18.04,21.97,77,19.9995,True,False,False,False,False,True,False,False,15,5,1,0,110
0,0,17.22,21.21,82,19.9995,True,False,False,False,False,True,False,False,16,5,1,0,93
0,0,18.04,21.97,82,19.0012,True,False,False,False,False,True,False,False,17,5,1,0,67
0,0,17.22,21.21,88,16.9979,True,False,False,False,False,False,True,False,18,5,1,0,35
0,0,17.22,21.21,88,16.9979,True,False,False,False,False,False,True,False,19,5,1,0,37
0,0,16.4,20.455,87,16.9979,True,False,False,False,False,True,False,False,20,5,1,0,36
0,0,16.4,20.455,87,12.998,True,False,False,False,False,True,False,False,21,5,1,0,34
0,0,16.4,20.455,94,15.0013,True,False,False,False,False,True,False,False,22,5,1,0,28
0,0,18.86,22.725,88,19.9995,True,False,False,False,False,True,False,False,23,5,1,0,39
0,0,18.86,22.725,88,19.9995,True,False,False,False,False,True,False,False,0,6,1,0,17
0,0,18.04,21.97,94,16.9979,True,False,False,False,False,True,False,False,1,6,1,0,17
0,0,17.22,21.21,100,19.0012,True,False,False,False,False,True,False,False,2,6,1,0,9
